msoa11,msoa04crud,lic2001,lic2002,lic2003,lic2004,lic2005,lic2006,lic2007,lic2008,lic2009,lic2010,lic2011,lic2012
E02000001,E02000001,1188.288551,1501.455626,1787.118637,2252.428375,2058.033871,1900.063264,2286.501158,2684.447204,2625.237475,2890.337409,3152.800227,3164.464294
E02000002,E02000002,3.239546224,24.3728931,13.17938362,10.94774456,10.17945592,17.48201406,12.31486224,20.79707775,29.48437938,31.20421498,31.46791482,28.0592697
E02000003,E02000003,15.69443643,29.66465882,28.18701473,32.50869898,41.81383392,38.63275839,55.87955167,40.24627146,39.58775217,51.90598128,60.24144632,44.86016901
E02000004,E02000004,1.519747946,1.57290688,7.929784902,12.20034309,9.577055257,7.654221639,9.068692241,11.17147447,10.85660867,9.873955291,15.25230051,10.16592244
E02000005,E02000005,4.273718707,6.472816472,11.14944227,12.90213641,15.36156657,8.82026544,10.40761794,12.12901734,10.66085195,22.5003066,22.16175662,22.69133113
E02000007,E02000007,0.885075428,4.036041706,8.24334033,10.3228401,5.786208022,6.020872643,11.09016432,18.03998624,17.75092028,16.75170145,13.18747036,11.36896967
E02000008,E02000008,4.162208732,10.63172546,11.55192934,20.96036521,17.65723586,15.01783754,17.59373464,19.67398449,22.87848971,23.32627717,22.81031015,22.1368022
E02000009,E02000009,4.251476239,4.340525197,5.382428955,11.65008178,12.07062334,10.07279483,12.89290959,13.87364568,18.48152139,23.03646006,20.74919058,23.03897823
E02000010,E02000010,7.053362453,7.119048898,7.445189248,11.88655925,18.8955312,14.43548526,11.56591702,12.34642899,11.22949444,18.66328677,24.36936878,25.27941744
E02000011,E02000011,7.346104962,13.25644804,12.67993152,16.54650299,18.53869785,17.08554578,22.18781924,35.5768184,19.38780048,21.83986928,24.32104812,27.64815973
E02000012,E02000012,3.316062392,3.987922568,11.52251617,12.44398076,14.69050163,8.551485063,9.142248906,7.407784646,6.950696797,16.40133846,10.71222499,13.26832917
E02000013,E02000013,2.080230754,3.282886536,3.119749445,5.462270625,2.569308657,3.925991883,6.90742529,10.61490924,8.673618999,11.18960393,12.92226014,16.02112098
E02000014,E02000014,1.646906315,5.659568416,6.953653929,14.54739899,11.74832951,8.440993276,9.373150529,23.0311027,11.80110858,24.50172073,22.36214562,20.76562709
