msoa11cd,simple_average_2009_2013
E02005714,91.45
E02003715,90.60
E02000978,90.34
E02000585,90.00
E02002107,89.97
E02005689,89.89
E02000176,89.88
E02003685,89.54
E02000588,89.44
E02003783,89.28
E02003697,89.23
E02000977,89.23
E02000960,89.11
E02003757,89.00
E02004548,88.85
E02004928,88.74
E02000167,88.69
E02003453,88.52
E02006672,88.43
E02000583,88.25
E02006599,88.23
E02004404,88.23
E02006854,88.22
E02001440,88.19
E02000170,88.18
E02002330,88.15
E02000586,88.13
E02003762,88.09
E02003109,88.09
E02001665,88.09
E02003779,88.08
E02000431,88.08
E02002027,88.03
E02006613,88.02
E02003101,87.96
E02001651,87.96
E02000584,87.93
E02000147,87.83
E02004827,87.76
E02003022,87.73
E02000454,87.69
E02006427,87.66
E02004709,87.65
E02000795,87.63
E02004931,87.61
E02000448,87.60
E02000048,87.60
E02004980,87.60
E02000125,87.57
E02004960,87.56
E02006454,87.56
E02003623,87.55
E02004765,87.55
E02002335,87.47
E02002810,87.46
E02005385,87.44
E02000418,87.35
E02003788,87.35
E02005942,87.35
E02003725,87.32
E02006846,87.28
E02006825,87.26
E02003860,87.25
E02000587,87.23
E02000592,87.23
E02006075,87.20
E02003473,87.19
E02004614,87.18
E02001227,87.16
E02006391,87.15
E02004380,87.15
E02003698,87.10
E02003641,87.07
E02003786,87.06
E02003366,87.03
E02002341,87.02
E02006359,87.01
E02004247,87.01
E02003683,87.00
E02006325,86.98
E02006624,86.98
E02006429,86.97
E02002865,86.97
E02006446,86.96
E02006721,86.96
E02004110,86.95
E02001393,86.92
E02006366,86.87
E02006741,86.86
E02005532,86.86
E02004814,86.84
E02000785,86.83
E02000096,86.83
E02003254,86.83
E02003139,86.81
E02003001,86.81
E02004900,86.81
E02000544,86.80
E02004618,86.80
E02006448,86.80
E02006362,86.78
E02003866,86.78
E02000228,86.77
E02004491,86.75
E02004499,86.73
E02006422,86.72
E02006607,86.70
E02000967,86.69
E02004243,86.69
E02003383,86.68
E02006874,86.67
E02000159,86.66
E02006747,86.65
E02003480,86.65
E02003961,86.65
E02003883,86.64
E02004645,86.64
E02000226,86.62
E02005390,86.62
E02003435,86.61
E02000773,86.60
E02006520,86.57
E02003704,86.56
E02000171,86.55
E02005726,86.55
E02006682,86.55
E02006563,86.52
E02003390,86.51
E02000971,86.50
E02000001,86.49
E02006098,86.49
E02004238,86.48
E02006361,86.47
E02006201,86.46
E02003379,86.46
E02004593,86.44
E02004455,86.42
E02003072,86.41
E02002897,86.40
E02000148,86.40
E02005966,86.36
E02004975,86.34
E02005575,86.32
E02001011,86.30
E02003373,86.28
E02000086,86.27
E02000537,86.27
E02001656,86.26
E02006337,86.25
E02005981,86.24
E02006416,86.23
E02000692,86.22
E02003723,86.22
E02000861,86.22
E02000975,86.21
E02000151,86.21
E02000709,86.20
E02000293,86.20
E02000157,86.20
E02000169,86.19
E02004658,86.19
E02002187,86.19
E02004571,86.18
E02001506,86.18
E02002816,86.18
E02005920,86.17
E02004615,86.17
E02006109,86.15
E02004565,86.15
E02003674,86.14
E02006447,86.13
E02000173,86.13
E02002797,86.12
E02004218,86.12
E02000765,86.12
E02006675,86.11
E02005175,86.11
E02003041,86.10
E02001507,86.10
E02001832,86.08
E02001219,86.07
E02004141,86.06
E02000099,86.06
E02000058,86.06
E02000611,86.04
E02005068,86.04
E02000799,86.04
E02002796,86.03
E02000720,86.01
E02004839,86.01
E02004829,86.00
E02003371,86.00
E02006614,86.00
E02004447,86.00
E02002350,85.99
E02001499,85.99
E02002091,85.98
E02003649,85.95
E02006297,85.95
E02005751,85.94
E02005917,85.93
E02000298,85.93
E02000236,85.93
E02000762,85.92
E02000102,85.92
E02000150,85.92
E02006594,85.91
E02002614,85.89
E02004806,85.89
E02003448,85.88
E02003446,85.87
E02006323,85.87
E02003353,85.87
E02006766,85.87
E02000037,85.86
E02005360,85.85
E02002443,85.85
E02001709,85.85
E02003754,85.83
E02006386,85.83
E02003689,85.82
E02004995,85.81
E02004755,85.81
E02005401,85.81
E02000809,85.80
E02004142,85.79
E02004871,85.79
E02000848,85.78
E02006327,85.78
E02006085,85.78
E02000482,85.77
E02003791,85.76
E02000447,85.76
E02002109,85.75
E02005463,85.75
E02006562,85.74
E02003352,85.73
E02003224,85.73
E02004924,85.73
E02000758,85.73
E02002556,85.72
E02004518,85.72
E02000183,85.72
E02006755,85.71
E02000248,85.71
E02003196,85.71
E02000593,85.70
E02003863,85.70
E02004668,85.70
E02003911,85.69
E02003763,85.69
E02000932,85.69
E02002344,85.69
E02006690,85.67
E02006343,85.67
E02000088,85.67
E02004239,85.66
E02000589,85.66
E02004641,85.66
E02005072,85.66
E02000616,85.66
E02004260,85.65
E02001392,85.65
E02003120,85.65
E02000289,85.65
E02000043,85.64
E02004864,85.63
E02000039,85.61
E02005929,85.59
E02001681,85.59
E02002336,85.59
E02003093,85.58
E02004253,85.58
E02002106,85.58
E02000393,85.58
E02006595,85.58
E02000433,85.57
E02000451,85.57
E02004249,85.56
E02006094,85.56
E02004270,85.56
E02000457,85.56
E02000837,85.56
E02005663,85.54
E02002569,85.54
E02004166,85.53
E02000138,85.52
E02005524,85.52
E02000598,85.52
E02000790,85.52
E02000471,85.51
E02003102,85.51
E02003098,85.51
E02000499,85.51
E02000095,85.51
E02006559,85.50
E02004192,85.50
E02003739,85.50
E02003087,85.49
E02000931,85.49
E02006235,85.49
E02001414,85.48
E02000504,85.48
E02000787,85.48
E02001380,85.47
E02004139,85.47
E02004757,85.47
E02005629,85.46
E02006351,85.46
E02005982,85.46
E02006608,85.46
E02000500,85.45
E02006873,85.44
E02005756,85.44
E02004796,85.43
E02004721,85.43
E02004262,85.43
E02001738,85.42
E02000532,85.40
E02001479,85.40
E02006354,85.40
E02000163,85.40
E02006554,85.39
E02000056,85.39
E02001997,85.39
E02004692,85.38
E02006408,85.38
E02002664,85.38
E02004805,85.37
E02000122,85.37
E02004469,85.37
E02006338,85.36
E02006355,85.36
E02003775,85.36
E02004403,85.36
E02005669,85.35
E02006589,85.35
E02004859,85.34
E02004712,85.34
E02003421,85.34
E02004256,85.34
E02004612,85.34
E02002510,85.33
E02005864,85.33
E02003702,85.33
E02001307,85.33
E02004244,85.33
E02000600,85.32
E02000054,85.32
E02006295,85.32
E02004883,85.31
E02000440,85.31
E02003345,85.31
