cp,year,pc,2wmv,car,bus,lgv,hgv_total,min_month,min_dayofmonth,hour,min_idir,max_idir
6000,2000,0,51,2564,14,318,155,3,27,8,N,S
6000,2001,0,102,2654,15,355,243,5,10,8,N,S
6000,2002,0,119,2963,19,412,263,6,17,8,N,S
6000,2004,0,79,2890,13,360,225,4,30,8,N,S
6000,2005,0,112,2789,23,438,281,5,13,8,N,S
6000,2007,0,87,2631,31,494,215,5,24,8,N,S
6000,2011,0,44,3163,32,449,349,5,26,8,N,S
6000,2016,0,75,2405,32,486,296,5,5,8,N,S
6001,2000,0,182,5686,31,653,306,10,3,8,N,S
6001,2001,0,196,5349,48,603,296,7,2,8,N,S
6001,2002,0,179,4258,17,630,256,10,1,8,N,S
6001,2003,0,126,4735,29,838,328,5,13,8,N,S
6001,2004,0,139,4780,19,691,292,9,22,8,N,S
6001,2005,0,197,4341,13,591,291,6,9,8,N,S
6001,2006,0,166,4526,26,757,275,10,12,8,N,S
6001,2007,0,106,3830,13,680,333,3,30,8,N,S
6001,2008,0,144,4809,33,783,217,6,3,8,N,S
6001,2009,0,186,6012,46,660,387,6,30,8,N,S
6001,2011,0,108,4339,29,863,315,7,12,8,E,W
6001,2013,0,139,4308,65,966,379,6,14,8,E,W
6001,2015,0,121,4236,33,850,356,4,13,8,E,W
6013,2000,0,123,8563,55,582,564,4,11,8,E,W
6013,2001,0,166,8084,83,839,518,5,4,8,E,W
6013,2002,0,216,8685,83,784,475,9,30,8,E,W
6013,2003,0,117,7650,73,752,547,6,27,8,E,W
6013,2005,0,243,8437,47,766,377,6,27,8,E,W
6013,2006,0,141,6970,70,848,392,6,12,8,E,W
6013,2007,0,203,7518,38,821,477,10,29,8,E,W
6013,2008,0,154,7334,66,632,433,6,19,8,E,W
6013,2009,0,231,7766,78,718,393,6,18,8,E,W
6013,2010,0,370,5778,49,1911,756,6,21,8,E,W
6013,2011,0,192,9055,75,659,422,6,27,8,E,W
6013,2012,0,93,7154,68,701,265,5,10,8,E,W
6013,2013,0,157,7753,81,959,361,7,1,8,E,W
6013,2014,0,113,6557,103,850,323,5,23,8,E,W
6013,2015,0,131,7196,71,1234,454,10,8,8,E,W
6013,2016,0,134,7683,68,1060,487,9,20,8,E,W
6071,2000,5,90,2811,19,484,241,9,29,8,N,S
6071,2001,1,93,1953,16,592,321,9,20,8,N,S
6071,2002,7,174,3171,32,948,374,5,31,8,N,S
6071,2003,4,189,3202,24,696,401,5,23,8,N,S
6071,2004,7,161,3623,47,751,455,6,22,8,N,S
6071,2005,0,146,3517,26,962,447,3,11,8,N,S
6071,2006,4,168,2888,31,423,464,10,18,8,N,S
6071,2007,8,143,3027,42,885,529,6,20,8,N,S
6071,2008,9,162,2996,40,782,561,5,21,8,N,S
6071,2010,14,141,6271,23,753,339,6,11,8,E,W
6071,2011,0,76,4193,46,1191,941,3,18,8,N,S
6071,2012,0,99,3408,13,870,500,4,24,8,N,S
6071,2013,0,77,3667,30,1205,318,3,18,8,N,S
6071,2014,0,160,3483,18,1054,463,5,21,8,N,S
6071,2015,9,122,3719,21,1166,440,9,10,8,N,S
6071,2016,7,160,3736,28,1068,381,5,18,8,N,S
