ID,ROAD,EASTING,NORTHING,DIRECTION,MONTH,YEAR,TOTAL FLOW,PEDAL-MOTORCYCLE, CAR, TRAILER_CARAVAN_VAN,2AXLE_TRUCKorBUS, 3AXLE_TRUCKorBUS, 4AXLE_TRUCK, LGV,TOTAL LARGER THAN CAR,DFT PEDAL CYCLE,DFT MOTOR CYCLE,AVERAGE_SPEED,_85TH_SPEED,,,,,,,,,,,,
PR37,Abbey street,533958.000,179467.000,E,7,2017,6829,624,5476,54,600,20,25,30,729,n/a,n/a,19.9,23.8,,,,,,,,,,,,
PR37,Abbey street,533958.000,179467.000,W,7,2017,7712,652,6252,55,669,23,37,23,807,n/a,n/a,19.2,23.0,,,,,,,,,,,,
AMH1,Abbotswood Road,533282.510,175348.990,N,10,2010,297,32,250,0,14,1,0,0,15,n/a,n/a,16.5,20.1,,,,,,,,,,,,
AMH1,Abbotswood Road,533282.510,175348.990,S,10,2010,300,36,249,0,14,1,0,0,15,n/a,n/a,16.4,19.5,,,,,,,,,,,,
AMH134,Ablett Street,535092.000,178230.000,E,10,2016,977,19,876,1,79,1,1,0,82,56,24,19.3,23.7,,,,,,,,,,,,
AMH134,Ablett Street,535092.000,178230.000,W,10,2016,540,17,491,1,28,2,1,0,32,71,31,19.4,23.7,,,,,,,,,,,,
SW6,Addington Square,532446.204,177487.744,E,2,2016,1302,203,1011,4,71,3,7,1,86,n/a,n/a,15.9,19.5,,,,,,,,,,,,
SW6,Addington Square,532446.204,177487.744,W,2,2016,385,131,246,0,3,1,2,0,6,n/a,n/a,11.5,12.1,,,,,,,,,,,,
MIX73,Adys Road,534005.618,175581.460,N,10,2015,2166,295,1745,12,94,4,16,5,131,n/a,n/a,16.4,19.7,,,,,,,,,,,,
MIX73,Adys Road,534005.618,175581.460,N,12,2016,2216,285,1840,5,59,12,11,4,91,253,32,16.5,19.4,,,,,,,,,,,,
MIX73,Adys Road,534005.618,175581.460,S,10,2015,2357,313,1922,12,96,5,9,1,123,n/a,n/a,15.2,18.1,,,,,,,,,,,,
MIX73,Adys Road,534005.618,175581.460,S,12,2016,2683,312,2190,13,67,79,12,10,181,264,48,15.5,18.8,,,,,,,,,,,,
