cp,year,bicycle_motorbike,car,larger_than_car,total,direction,num_direction
20MPH1,2015,1600,16166,2226,19991,NS,2
20MPH10,2015,562,2381,502,3445,NS,2
20MPH101,2015,270,13021,1512,14802,NS,2
20MPH102,2015,655,30039,3642,34337,EW,2
20MPH105,2015,56,495,126,676,NS,2
20MPH107,2013,215,6473,1100,7779,NS,2
20MPH107,2015,300,7157,1195,8653,NS,2
20MPH108,2013,530,15350,1757,17593,EW,2
20MPH108,2015,548,15870,1373,17791,EW,2
20MPH109,2013,354,927,421,1693,NN,1
20MPH109,2015,619,301,571,1491,NN,1
20MPH11,2015,20,465,44,529,NS,2
20MPH110,2013,257,10554,1269,12049,EW,2
20MPH110,2015,270,11751,1387,13408,EW,2
20MPH111,2013,679,18764,1934,21334,EW,2
20MPH111,2015,669,19821,1770,22260,EW,2
20MPH112,2013,24,301,25,350,EW,2
20MPH112,2015,12,323,49,383,EW,2
20MPH113,2013,407,6856,988,8242,NS,2
20MPH113,2015,412,7271,869,8552,NS,2
20MPH114,2013,329,2795,2294,5394,EW,2
20MPH114,2015,183,3386,2136,5706,EW,2
20MPH115,2013,8,114,19,141,NS,2
20MPH115,2015,27,159,21,207,NS,2
20MPH116,2013,476,2152,1029,3649,NS,2
20MPH116,2015,1310,1007,1236,3552,NS,2
20MPH118,2013,91,1693,162,1946,NS,2
20MPH118,2015,57,2192,273,2523,NS,2
20MPH119,2013,18,86,17,120,EW,2
20MPH119,2015,24,110,22,154,EW,2
20MPH12,2015,2,8,1,12,NS,2
20MPH121,2013,421,3796,694,4896,NS,2
20MPH121,2015,768,4137,705,5611,NS,2
20MPH123,2015,338,13559,1291,15190,NS,2
20MPH124,2013,572,13484,1200,15209,EW,2
20MPH124,2015,604,13557,1358,15520,EW,2
20MPH127,2013,401,10839,1406,12646,NS,2
20MPH127,2015,512,10044,1065,11622,NS,2
20MPH128,2013,60,315,19,394,NS,2
20MPH128,2015,87,304,33,424,NS,2
20MPH13,2015,566,1405,484,2455,WW,1
20MPH130,2013,39,211,16,266,NS,2
20MPH130,2015,43,228,23,292,NS,2
20MPH131,2013,1579,22936,3568,28084,NS,2
20MPH131,2015,2103,22937,3388,28428,NS,2
20MPH132,2013,457,9654,1721,11806,NS,2
20MPH132,2015,601,11049,1804,13454,NS,2
20MPH134,2015,37,413,31,480,NS,2
20MPH135,2015,477,17131,1514,19122,NS,2
20MPH136,2013,9,138,11,158,NS,2
20MPH136,2015,10,204,19,233,NS,2
20MPH137,2013,355,9930,1513,11755,NS,2
20MPH137,2015,342,8733,1111,10186,NS,2
20MPH138,2013,58,1605,205,1868,NS,2
20MPH138,2015,98,896,63,1057,NN,1
20MPH14,2015,1380,9616,1163,12158,NS,2
20MPH140,2013,370,6136,1822,8301,NS,2
20MPH140,2015,545,5734,1490,7769,NS,2
20MPH142,2013,417,5248,1141,6807,NS,2
20MPH142,2015,488,6382,921,7791,NS,2
20MPH143,2015,52,515,33,599,EW,2
20MPH144,2015,157,2929,397,3484,NS,2
20MPH145,2015,27,439,54,521,NS,2
20MPH146,2013,13,261,37,310,EW,2
20MPH146,2015,38,282,24,343,EW,2
20MPH147,2015,306,12428,1416,14151,EW,2
20MPH148,2015,35,532,35,602,EW,2
20MPH149,2015,134,719,72,925,NS,2
20MPH15,2015,257,495,63,814,NS,2
20MPH150,2015,17,781,67,866,NS,2
20MPH151,2013,144,3296,1176,4598,NS,2
20MPH151,2015,97,1575,436,2108,NS,2
20MPH152,2013,187,4737,620,5536,EW,2
20MPH152,2015,316,5006,626,5947,EW,2
20MPH153,2013,454,12100,2199,14754,NN,1
20MPH153,2015,863,15170,1980,18012,NN,1
20MPH154,2013,173,6386,699,7252,NS,2
20MPH154,2015,193,7311,755,8259,NS,2
20MPH155,2015,910,13900,2196,17006,WW,1
20MPH158,2015,672,846,93,1610,NS,2
20MPH159,2013,32,685,111,828,EW,2
