source_classif_code,source_classif_name,source_classif_source,urban_rural_official,unified_classif_code,unified_classif_name
A1,Urban: Major Conurbation (A1),ONS (England/Wales),U,U1,Large Urban Areas
B1,Urban: Minor Conurbation (B1),ONS (England/Wales),U,U1,Large Urban Areas
1,1 Large Urban Areas,NRS (Scotland),U,U1,Large Urban Areas
AY,Band A: Belfast City,NISRA (Northern Ireland),U,U1,Large Urban Areas
C1,Urban: City and Town (C1),ONS (England/Wales),U,U2,Smaller Urban Areas
C2,Urban: City and Town in a Sparse Setting (C2),ONS (England/Wales),U,R2,Sparse/Remote Settlements
2,2 Other Urban Areas,NRS (Scotland),U,U2,Smaller Urban Areas
BY,Band B: Derry City,NISRA (Northern Ireland),U,U2,Smaller Urban Areas
CY,Band C: Large Town > 18000 people,NISRA (Northern Ireland),U,U2,Smaller Urban Areas
DY,Band D: Medium Town 10000-18000 people,NISRA (Northern Ireland),U,U2,Smaller Urban Areas
D1,Rural: Town and Fringe (D1),ONS (England/Wales),R,R1,Accessible Settlements
3,3 Accessible Small Towns,NRS (Scotland),R,R1,Accessible Settlements
EY,Band E: Small Town 5000-9999 people,NISRA (Northern Ireland),R,R1,Accessible Settlements
FY,Band F: Intermediate Settlements 2500-4999 people,NISRA (Northern Ireland),R,R1,Accessible Settlements
D2,Rural: Town and Fringe in a Sparse Setting (D2),ONS (England/Wales),R,R2,Sparse/Remote Settlements
4,4 Remote Small Towns,NRS (Scotland),R,R2,Sparse/Remote Settlements
5,5 Very Remote Small Towns,NRS (Scotland),R,R2,Sparse/Remote Settlements
EN,Band E/R: Remote Small Town 5000-9999 people,NISRA (Northern Ireland),R,R2,Sparse/Remote Settlements
FN,Band F/R: Remote Intermediate Settlements 2500-4999 people,NISRA (Northern Ireland),R,R2,Sparse/Remote Settlements
E1,Rural: Village (E1),ONS (England/Wales),R,R3,Accessible Villages/Dwellings
F1,Rural: Hamlets and Isolated Dwellings (F1),ONS (England/Wales),R,R3,Accessible Villages/Dwellings
6,6 Accessible Rural,NRS (Scotland),R,R3,Accessible Villages/Dwellings
GY,Band G: Village 1000-2499 people,NISRA (Northern Ireland),R,R3,Accessible Villages/Dwellings
HY,Band H: Open Countryside/Small Villages < 1000 people,NISRA (Northern Ireland),R,R3,Accessible Villages/Dwellings
E2,Rural: Village in a Sparse Setting (E2),ONS (England/Wales),R,R4,Sparse/Remote Villages/Dwellings
F2,Rural: Hamlets and Isolated Dwellings in a Sparse Setting (F2),ONS (England/Wales),R,R4,Sparse/Remote Villages/Dwellings
7,7 Remote Rural,NRS (Scotland),R,R4,Sparse/Remote Villages/Dwellings
8,8 Very Remote Rural,NRS (Scotland),R,R4,Sparse/Remote Villages/Dwellings
GN,Band G/R: Remote Village 1000-2499 people,NISRA (Northern Ireland),R,R4,Sparse/Remote Villages/Dwellings
HN,Band H/R: Remote Open Countryside/Small Villages < 1000 people,NISRA (Northern Ireland),R,R4,Sparse/Remote Villages/Dwellings
