date,wz11cd,population_all_usual_residents,area_hectares,density_ppl_per_ha
2011,E33000439,687,68.41,10
2011,E33000440,361,50.77,7.1
2011,E33000441,462,11.28,41
2011,E33000454,772,1147.22,0.7
2011,E33000455,3278,5.81,564.2
2011,E33000456,286,169.91,1.7
2011,E33000457,1211,35.84,33.8
2011,E33000458,547,157.77,3.5
2011,E33001679,526,182.7,2.9
2011,E33001680,343,1677.58,0.2
2011,E33001681,218,2721.95,0.1
2011,E33001682,317,2165.09,0.1
2011,E33001683,756,68.1,11.1
2011,E33001684,620,536.31,1.2
2011,E33001685,377,1211.74,0.3
2011,E33001686,337,3036.52,0.1
2011,E33001687,274,85.46,3.2
2011,E33001688,491,72.76,6.7
2011,E33001689,289,47.83,6
2011,E33001690,416,23.34,17.8
2011,E33001691,294,77.12,3.8
2011,E33001692,256,46.47,5.5
2011,E33001693,896,32.92,27.2
2011,E33001694,304,50.31,6
2011,E33001695,408,41,10
2011,E33001696,683,86.15,7.9
2011,E33001697,286,70.04,4.1
2011,E33000438,293,12.08,24.3
2011,E33001698,426,41.87,10.2
2011,E33001699,353,77.51,4.6
2011,E33001700,303,64.97,4.7
2011,E33001701,293,26.53,11
2011,E33001702,569,42.01,13.5
2011,E33000410,306,1.01,303
2011,E33000411,312,1.6,195
2011,E33000412,506,2.8,180.7
2011,E33000413,343,1.39,246.8
2011,E33000414,243,1.3,186.9
2011,E33000415,523,2.04,256.4
2011,E33000416,217,1.95,111.3
2011,E33000417,285,1.91,149.2
2011,E33000418,256,3.83,66.8
2011,E33000419,263,1.57,167.5
2011,E33000420,313,1.12,279.5
2011,E33000421,1493,4.78,312.3
2011,E33000422,672,2.44,275.4
2011,E33000423,618,1.34,461.2
2011,E33000424,340,2.76,123.2
2011,E33000425,249,7.23,34.4
2011,E33000426,222,0.74,300
2011,E33000427,468,0.97,482.5
2011,E33000428,374,3.43,109
2011,E33000429,285,5.36,53.2
2011,E33000430,203,17.36,11.7
2011,E33000431,483,3.58,134.9
2011,E33000432,235,7.56,31.1
2011,E33000434,311,13.25,23.5
2011,E33000435,241,3.49,69.1
2011,E33000436,310,3.04,102
2011,E33000437,421,6.41,65.7
2011,E33000451,627,2.15,291.6
2011,E33000452,445,7.16,62.2
2011,E33001703,268,8.84,30.3
2011,E33001704,302,13.79,21.9
2011,E33001705,397,15.78,25.2
2011,E33001706,2730,24.19,112.9
2011,E33000433,369,14.11,26.2
2011,E33000442,502,8.34,60.2
2011,E33000443,377,8.05,46.8
2011,E33000444,452,15.51,29.1
2011,E33000445,355,18.68,19
2011,E33000446,397,45.22,8.8
2011,E33000447,1030,30.05,34.3
2011,E33001707,753,53.73,14
2011,E33001708,220,15.85,13.9
2011,E33001709,1160,34.26,33.9
2011,E33001710,787,46.13,17.1
2011,E33001711,293,35.14,8.3
2011,E33001712,495,20.48,24.2
2011,E33001713,219,35.29,6.2
2011,E33001714,281,30.01,9.4
2011,E33001715,236,31.53,7.5
2011,E33001716,295,32.69,9
2011,E33001717,233,31.73,7.3
2011,E33001718,513,16.36,31.4
2011,E33001719,245,43.23,5.7
2011,E33000450,955,8.61,110.9
2011,E33001720,278,76.34,3.6
2011,E33001721,231,66.75,3.5
2011,E33001722,417,50.58,8.2
2011,E33001723,372,225.59,1.6
2011,E33001724,290,78.09,3.7
2011,E33001725,382,32.33,11.8
2011,E33001726,268,24.36,11
2011,E33001727,276,22.84,12.1
2011,E33001728,240,14.57,16.5
2011,E33001729,422,33.16,12.7
2011,E33001730,703,197.47,3.6
2011,E33000453,203,5.72,35.5
2011,E33001731,303,62.27,4.9
2011,E33001732,527,36.64,14.4
2011,E33001733,693,46.55,14.9
2011,E33000448,544,342.33,1.6
2011,E33000449,567,169.79,3.3
2011,E33001734,299,1427.65,0.2
2011,E33001735,486,235.1,2.1
2011,E33001736,442,1206.21,0.4
2011,E33001737,552,432.84,1.3
2011,E33001738,241,63.84,3.8
2011,E33001739,353,150.09,2.4
2011,E33001740,344,241.69,1.4
2011,E33001741,292,491.84,0.6
2011,E33001742,517,642.95,0.8
2011,E33001743,268,102.87,2.6
2011,E33001744,325,41.24,7.9
2011,E33000464,394,20.93,18.8
2011,E33000465,392,8.71,45
2011,E33000466,474,21.86,21.7
2011,E33000467,258,31.64,8.2
2011,E33000468,398,30.89,12.9
2011,E33000469,539,37.83,14.2
2011,E33001745,294,61.53,4.8
2011,E33001746,273,359.46,0.8
2011,E33001747,567,38.18,14.9
2011,E33001748,232,50.62,4.6
2011,E33000459,666,6.01,110.8
2011,E33000460,341,3.23,105.6
2011,E33001749,666,15.75,42.3
2011,E33001750,538,144.04,3.7
2011,E33001751,453,47.88,9.5
2011,E33001752,295,46.34,6.4
2011,E33001753,345,188.64,1.8
2011,E33000461,213,1.74,122.4
2011,E33000462,304,12.26,24.8
2011,E33000463,277,6.56,42.2
2011,E33001754,282,83.74,3.4
2011,E33001755,338,73.02,4.6
2011,E33001756,273,153.72,1.8
2011,E33001757,762,24.4,31.2
2011,E33001758,712,992.63,0.7
2011,E33001759,533,484.53,1.1
2011,E33001760,307,140.08,2.2
2011,E33001761,259,631.49,0.4
2011,E33001762,286,340.1,0.8
2011,E33001763,245,825.54,0.3
2011,E33001764,509,97.61,5.2
2011,E33001765,423,106.52,4
2011,E33001766,262,49.03,5.3
2011,E33001767,1030,656.89,1.6
2011,E33001768,321,116.43,2.8
2011,E33001769,241,170.07,1.4
2011,E33001770,874,565.7,1.5
2011,E33001771,323,1042.56,0.3
2011,E33001772,667,82.97,8
2011,E33001773,370,50.25,7.4
2011,E33001774,382,255.01,1.5
2011,E33001775,241,61.3,3.9
2011,E33001776,265,385.46,0.7
2011,E33000480,348,354.62,1
2011,E33000481,726,7.53,96.4
2011,E33000482,425,1.9,223.7
2011,E33000483,150,1.7,88.2
2011,E33000484,371,9.46,39.2
2011,E33001777,416,157.97,2.6
2011,E33001778,469,108.72,4.3
2011,E33001779,269,17,15.8
2011,E33001780,294,41.76,7
2011,E33001781,252,169.59,1.5
2011,E33001782,263,28.04,9.4
2011,E33001783,283,578.19,0.5
2011,E33001784,434,209.23,2.1
2011,E33001785,225,32.84,6.9
2011,E33001786,346,374.41,0.9
2011,E33001787,370,60.12,6.2
2011,E33001788,260,37.3,7
2011,E33001789,313,330.75,0.9
2011,E33001790,270,64.58,4.2
2011,E33000470,878,191.05,4.6
2011,E33001791,281,472.61,0.6
2011,E33001792,354,43.28,8.2
2011,E33001793,328,147.13,2.2
2011,E33001794,858,95.91,8.9
2011,E33001795,274,40.93,6.7
2011,E33000471,567,17.17,33
2011,E33000472,376,20.6,18.3
2011,E33000473,295,2.84,103.9
2011,E33000474,483,4.08,118.4
2011,E33000475,341,3.19,106.9
2011,E33000476,212,2.64,80.3
2011,E33000477,263,18.1,14.5
2011,E33000478,775,23.52,33
2011,E33000479,286,11.76,24.3
2011,E33001796,534,297,1.8
2011,E33001797,399,25.52,15.6
2011,E33001798,372,58.74,6.3
2011,E33001799,339,42.8,7.9
2011,E33001800,302,20.07,15
2011,E33001801,564,41.69,13.5
2011,E33001802,451,27.16,16.6
2011,E33001803,442,30,14.7
2011,E33001804,545,142.91,3.8
2011,E33001805,382,108.61,3.5
2011,E33001806,787,581.42,1.4
2011,E33001807,505,48.89,10.3
2011,E33001808,482,151,3.2
2011,E33001809,268,110.89,2.4
2011,E33001810,249,5683.92,0
2011,E33001811,1153,883.66,1.3
2011,E33001812,275,158,1.7
2011,E33000485,193,3221.59,0.1
2011,E33000486,957,595.29,1.6
2011,E33001813,491,121.65,4
2011,E33001814,326,2169.45,0.2
2011,E33001815,365,113.58,3.2
2011,E33001816,431,66.28,6.5
2011,E33001817,293,3957.12,0.1
2011,E33001818,359,25.58,14
2011,E33001819,591,1279.95,0.5
2011,E33000513,2208,849.37,2.6
2011,E33000516,728,22.01,33.1
2011,E33000517,340,11.09,30.7
2011,E33000518,261,10.74,24.3
2011,E33001820,449,216.11,2.1
2011,E33001821,277,35.87,7.7
2011,E33000514,289,7.08,40.8
2011,E33000515,1455,21.06,69.1
2011,E33001822,250,41.93,6
2011,E33001823,294,21.06,14
2011,E33001824,863,45.07,19.1
2011,E33001825,368,98.08,3.8
2011,E33001826,421,19.65,21.4
2011,E33000717,945,806.33,1.2
2011,E33001827,336,181.5,1.9
2011,E33001828,284,605.52,0.5
2011,E33001829,420,434.69,1
2011,E33001830,333,909.33,0.4
2011,E33001831,367,474.88,0.8
2011,E33001832,469,840.94,0.6
2011,E33001833,473,1208.47,0.4
2011,E33000492,460,43.71,10.5
2011,E33001834,256,32.12,8
2011,E33001835,1168,317.83,3.7
2011,E33001836,384,62.25,6.2
2011,E33001837,369,51.4,7.2
2011,E33001838,1280,61.95,20.7
2011,E33000493,387,17.48,22.1
2011,E33000494,240,2.45,98
2011,E33000495,475,9.16,51.9
2011,E33000496,363,10.02,36.2
2011,E33000497,504,3.35,150.4
2011,E33000498,529,15.27,34.6
2011,E33001839,562,35.57,15.8
2011,E33001840,254,181.84,1.4
2011,E33001841,266,28.9,9.2
2011,E33001842,237,19.21,12.3
2011,E33000500,616,18.23,33.8
2011,E33000504,298,11.08,26.9
2011,E33000505,983,3.02,325.5
2011,E33000506,402,289.79,1.4
2011,E33000507,1415,27.55,51.4
2011,E33000508,216,23.42,9.2
2011,E33000509,323,13.61,23.7
2011,E33000510,395,71.98,5.5
2011,E33000511,213,54.98,3.9
